winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
EYRIE,vp,33,MARQUISE,23,30,none
EYRIE,vp,45,MARQUISE,26,31,none
EYRIE,vp,36,MARQUISE,29,30,none
MARQUISE,vp,26,MARQUISE,30,20,none
EYRIE,vp,31,MARQUISE,26,30,none
MARQUISE,vp,33,MARQUISE,31,30,none
EYRIE,vp,29,EYRIE,21,33,none
MARQUISE,vp,27,MARQUISE,31,21,none
MARQUISE,vp,32,MARQUISE,30,16,none
MARQUISE,vp,36,MARQUISE,30,14,none
EYRIE,vp,27,EYRIE,19,30,none
MARQUISE,vp,25,MARQUISE,30,13,none
MARQUISE,vp,28,MARQUISE,32,6,none
MARQUISE,vp,39,MARQUISE,30,28,none
MARQUISE,vp,28,MARQUISE,30,6,none
MARQUISE,vp,25,MARQUISE,30,25,none
EYRIE,vp,31,MARQUISE,23,31,none
MARQUISE,vp,39,MARQUISE,30,23,none
MARQUISE,vp,39,MARQUISE,30,26,none
MARQUISE,vp,30,MARQUISE,31,13,none
EYRIE,vp,37,MARQUISE,21,30,none
MARQUISE,vp,30,MARQUISE,30,24,none
MARQUISE,vp,28,MARQUISE,31,20,none
MARQUISE,vp,42,MARQUISE,31,29,none
EYRIE,vp,35,MARQUISE,25,30,none
EYRIE,vp,26,MARQUISE,28,30,none
MARQUISE,vp,40,MARQUISE,30,3,none
MARQUISE,vp,29,MARQUISE,30,10,none
EYRIE,vp,33,MARQUISE,28,31,none
MARQUISE,vp,33,MARQUISE,30,29,none
EYRIE,vp,37,MARQUISE,23,30,none
EYRIE,vp,33,MARQUISE,28,30,none
MARQUISE,vp,30,MARQUISE,32,12,none
MARQUISE,vp,30,MARQUISE,31,23,none
EYRIE,vp,31,MARQUISE,26,30,none
MARQUISE,vp,39,EYRIE,30,28,none
EYRIE,vp,34,MARQUISE,22,30,none
EYRIE,vp,33,MARQUISE,19,30,none
EYRIE,vp,31,MARQUISE,16,31,none
EYRIE,vp,38,MARQUISE,25,30,none
EYRIE,vp,33,MARQUISE,22,30,none
MARQUISE,vp,26,MARQUISE,30,13,none
EYRIE,vp,29,EYRIE,25,30,none
MARQUISE,vp,34,MARQUISE,31,16,none
MARQUISE,vp,35,MARQUISE,30,23,none
MARQUISE,vp,30,MARQUISE,30,26,none
MARQUISE,vp,24,MARQUISE,30,17,none
EYRIE,vp,30,MARQUISE,23,30,none
MARQUISE,vp,25,MARQUISE,30,19,none
MARQUISE,vp,40,MARQUISE,30,25,none
MARQUISE,vp,34,MARQUISE,30,29,none
EYRIE,vp,45,MARQUISE,28,30,none
MARQUISE,vp,28,MARQUISE,30,8,none
MARQUISE,vp,30,MARQUISE,30,14,none
MARQUISE,vp,26,MARQUISE,31,4,none
EYRIE,vp,37,MARQUISE,29,33,none
MARQUISE,vp,28,MARQUISE,32,19,none
EYRIE,vp,27,EYRIE,13,31,none
MARQUISE,vp,32,MARQUISE,30,27,none
EYRIE,vp,31,EYRIE,26,30,none
EYRIE,vp,35,MARQUISE,27,30,none
EYRIE,vp,35,MARQUISE,22,30,none
EYRIE,vp,23,MARQUISE,20,30,none
EYRIE,vp,25,EYRIE,18,32,none
EYRIE,vp,29,MARQUISE,25,31,none
EYRIE,vp,25,MARQUISE,24,31,none
EYRIE,vp,27,MARQUISE,17,30,none
MARQUISE,vp,33,MARQUISE,30,24,none
EYRIE,vp,25,MARQUISE,27,30,none
EYRIE,vp,49,EYRIE,29,30,none
MARQUISE,vp,24,MARQUISE,31,19,none
EYRIE,vp,43,EYRIE,19,30,none
MARQUISE,vp,36,MARQUISE,31,16,none
MARQUISE,vp,36,MARQUISE,34,28,none
MARQUISE,vp,26,MARQUISE,30,22,none
EYRIE,vp,33,MARQUISE,14,31,none
MARQUISE,vp,28,MARQUISE,32,4,none
EYRIE,vp,29,MARQUISE,18,31,none
EYRIE,vp,37,MARQUISE,26,31,none
EYRIE,vp,39,MARQUISE,27,30,none
MARQUISE,vp,30,MARQUISE,31,10,none
EYRIE,vp,31,MARQUISE,29,30,none
MARQUISE,vp,30,MARQUISE,30,19,none
EYRIE,vp,25,MARQUISE,18,30,none
MARQUISE,vp,40,MARQUISE,30,20,none
MARQUISE,vp,34,MARQUISE,30,26,none
EYRIE,vp,30,MARQUISE,19,30,none
EYRIE,vp,25,EYRIE,22,32,none
EYRIE,vp,33,MARQUISE,29,30,none
EYRIE,vp,33,MARQUISE,21,31,none
EYRIE,vp,33,EYRIE,20,32,none
MARQUISE,vp,30,MARQUISE,30,24,none
EYRIE,vp,23,MARQUISE,19,30,none
MARQUISE,vp,44,MARQUISE,30,13,none
MARQUISE,vp,38,MARQUISE,31,18,none
EYRIE,vp,31,EYRIE,20,32,none
MARQUISE,vp,33,MARQUISE,30,28,none
EYRIE,vp,35,MARQUISE,26,30,none
EYRIE,vp,33,MARQUISE,27,30,none
MARQUISE,vp,27,EYRIE,30,21,none
EYRIE,vp,25,MARQUISE,23,30,none
